order_date,total_orders,completed_orders,cancelled_orders,returned_orders,late_orders,critical_orders,median_processing_time,completion_rate,cancellation_rate,late_shipment_rate
2025-10-01,94,81,13,2,0,0,792.0,86.17021276595744,13.829787234042554,0.0
2025-10-02,78,64,14,0,0,0,680.5,82.05128205128204,17.94871794871795,0.0
2025-10-03,93,81,12,1,0,4,1151.0,87.09677419354838,12.903225806451612,0.0
2025-10-04,101,85,16,0,0,10,2671.0,84.15841584158416,15.841584158415841,0.0
2025-10-05,99,83,16,2,0,0,1497.5,83.83838383838383,16.161616161616163,0.0
2025-10-06,138,109,29,0,3,0,1109.0,78.98550724637681,21.014492753623188,2.1739130434782608
2025-10-07,101,83,18,0,0,0,1158.0,82.17821782178217,17.82178217821782,0.0
2025-10-08,118,96,22,1,1,0,1180.0,81.35593220338984,18.64406779661017,0.847457627118644
2025-10-09,86,75,11,0,0,0,1213.0,87.20930232558139,12.790697674418606,0.0
2025-10-10,141,122,19,0,1,0,1109.0,86.52482269503547,13.47517730496454,0.7092198581560284
2025-10-11,108,86,22,6,0,1,788.0,79.62962962962963,20.37037037037037,0.0
2025-10-12,107,89,18,0,0,0,1426.0,83.17757009345794,16.822429906542055,0.0
2025-10-13,136,112,24,1,0,0,940.0,82.35294117647058,17.647058823529413,0.0
2025-10-14,90,78,12,2,0,0,1171.5,86.66666666666667,13.333333333333334,0.0
2025-10-15,126,102,24,1,0,0,990.0,80.95238095238095,19.047619047619047,0.0
2025-10-16,90,82,8,1,0,0,903.0,91.11111111111111,8.88888888888889,0.0
2025-10-17,76,66,10,1,0,1,695.0,86.8421052631579,13.157894736842104,0.0
2025-10-18,76,59,17,1,0,3,2423.0,77.63157894736842,22.36842105263158,0.0
2025-10-19,93,82,11,1,0,0,1445.5,88.17204301075269,11.827956989247312,0.0
2025-10-20,96,82,14,0,1,0,661.0,85.41666666666666,14.583333333333334,1.0416666666666665
2025-10-21,91,78,13,1,0,0,1090.0,85.71428571428571,14.285714285714285,0.0
2025-10-22,93,80,13,2,0,0,1197.5,86.02150537634408,13.978494623655912,0.0
2025-10-23,108,90,18,1,1,0,853.0,83.33333333333334,16.666666666666664,0.9259259259259258
2025-10-24,110,96,14,1,1,0,966.0,87.27272727272727,12.727272727272727,0.9090909090909091
2025-10-25,128,107,21,0,0,5,2603.0,83.59375,16.40625,0.0
2025-10-26,102,85,17,1,0,0,1598.0,83.33333333333334,16.666666666666664,0.0
2025-10-27,108,90,18,4,0,0,906.0,83.33333333333334,16.666666666666664,0.0
2025-10-28,86,75,11,2,0,0,517.0,87.20930232558139,12.790697674418606,0.0
2025-10-29,105,88,17,4,1,0,972.0,83.80952380952381,16.19047619047619,0.9523809523809524
2025-10-30,101,84,17,0,0,0,658.0,83.16831683168317,16.831683168316832,0.0
2025-10-31,74,60,14,0,0,2,1146.5,81.08108108108108,18.91891891891892,0.0
